category_variant_key,source_key,group_code_normalized,group_description,category_code_normalized,category_description,data_truth_class
24e049c5fd1e1764e430764d91470db5386be7a19b50bc4b5da88a62eed8ccb4,D2,cscomplmt,Compliment,watwaste,Water/Wastewater/Waste Section,real_public_reference
25d74ef2a76f7258a0bf0c4af3efe75a619f74c83bc51a5271da73c03827cd27,D2,csnoise,Noise,csresiden,Residential,real_public_reference
26bf8cbdf6ac716b1b57bd977d32a19c613a01cffe56a57f609b50750721f21c,D2,csanimangt,Animal Management,cscattery,Cattery,real_public_reference
273b0ee94cecb1dceaad48c4e77d7a12b41da41bb6edbf5f4d9a594ff66f29b5,D2,csdump,Dumping,csdumping,Non-Compliant Dumping,real_public_reference
276282241482bb891dac64d5761b2736481aa7efecfeec127bd4687f8d7dce24,D2,csrates,Rates,csmiscenq,Miscellaneous Rates Enquiries,real_public_reference
27a41b0231e1e2e2b4936f2defc29720f967bae8a2f15ec467befcda7be7e942,D2,csprkinf,Park Infrastructure,cspbtltcln,Public toilet cleanliness,real_public_reference
27c74b95f92ed68a8b075625b31ea4bc1f92e803a08df12f038fe7c958dbd71e,D2,cskrbchan,Kerb and Channel,csexstinf1,Replace Existing (greater than 10m),real_public_reference
27d1574009b98a72b591e954fec80aa4bd8ca71f88d942e317e89af7e09eff9e,D2,csregserv,EH & Regulatory Services Request for Service,cspermits,Parking Permits - EH & Regulatory Services,real_public_reference
284a78e00dd449d43dd884d996f9f88fc31854c6e9575a795d73c87f94dfdb8d,D2,cswtrinf,Water Infrastructure,cswtrrwmtr,Water Meter,real_public_reference
287d102c41eb5aa2c0fd5e8469b3cebf8346454c9b79cc5c119f59bb0d5ecd62,D2,csbusshlt,Bus Shelters,csexstinf,Replace Existing Infrastructure,real_public_reference
29f475bf87297ce936cde35c38632f888d5953d9acc8ce7f9ae6faf9dd2c74ba,D2,cswtrqlty,Water Quality,cschlorh,High/Low Chlorine,real_public_reference
2ad0c40d9d6cea6f07ba7e75e9a904ca24cfe37742798a23e2c03d96f5b28084,D2,csprkirig,Irrigation,csirrmaj,Irrigation High Priority,real_public_reference
2b34c0bbfe39d34d3583eac07866dda21329c4520781a2c37a336b4303ea5742,D2,csinforeq,Information Request,cspdinadre,PD Internal Advice Request,real_public_reference
2bafe9dd6915c4b42e5f818c7f13c4afac50e693a95724ae21d56eade31cbf12,D2,cstree,Trees,csfallentr,Fallen Trees (Non Urgent),real_public_reference
2c29e3de017b0cc0012cac3b80bdaf6157fc7fcda6612dba3c006639a32ceff2,D2,csadvstrct,Advertising Signs/Structures,csadvstrct,Information on fixed/structural advertising,real_public_reference
2c6565196000c0211d30cf40fdc9b1d8a02a4bf0a24090ae58378b94732e231a,D2,quickcall,Quickcall,quickcall,Quickcall,real_public_reference
2d2db863dee896cdc30cfadbdf4da4a3f984e957070333a110cfd29ba5a76f5f,D2,csregserv,EH & Regulatory Services Request for Service,csaniappn,Applications - Animals - EH&R,real_public_reference
2da70647a5e664d74e57d59c89085ccf9798e6aa814fa17ff01cc6295f1754c0,D2,csregserv,EH & Regulatory Services Request for Service,cspayplan,PINs - Payment Plans - EH&R,real_public_reference
2e0c66cfac23f649f967f959f1845b532f27f3b0f89575f24c512330e597f356,D2,cscomplmt,Compliment,projmanoff,Project Management Office,real_public_reference
2e0d143a8e4473eadc1af8cdc01eace09e40a668e7d4ce6ccb61ecb863226469,D2,csprkirig,Irrigation,csirrmin,Irrigation Low Priority,real_public_reference
2e2711093ac14cab5bd44ad56099f841e470136467c079cb7debd17fc086ec20,D2,csproactpa,Proactive Patrols,cselecsign,Election Signs,real_public_reference
2e6ad9f3e7233fb82019e43bc757676680f13ec0322c9f08d958b84ba0ebabcf,D2,cssewinf,Wastewater Infrastructure,cswwodour,Odour Wastewater Treatment Plant,real_public_reference
2ed6205a895655f9e1907fd8556d7fdd4a2190720abf5b3fea932ab4e57083ec,D2,cspstplt,Pest Plant,cspestplnt,Pest Plant,real_public_reference
2edf714e46927428a183c56c671a5470454501672dc25c87c1dffa4f9582ff0d,D2,csanimangt,Animal Management,csattack,Attack,real_public_reference
302a0cfdbfd285c8d976a077596b4837889e2de6998c681c58de37f54be42ca6,D2,cssewinf,Wastewater Infrastructure,cswwmnhole,Wastewater Manhole,real_public_reference
3159abb779d6139619a41dd2efe1b0386465867ccab1486f9e45a4e654044f7b,D2,csbldcompl,Building Compliance,csfiredmgb,Dangerous or Fire Damaged Building,real_public_reference
320022729cc3c07b3610ed6c9c0a5d16c62c7abd524ba70679b4fc245140ff5c,D2,csinfinfo,Infrastructure Information,csemerg,Emergency Management,real_public_reference
324743beb98db6722e19716c51d44274744cdcbc6379850fbf840cafef5568a8,D2,cswatersup,Water Supply,cstrdewste,Possible Trade Waste Offences,real_public_reference
32541f6f7db1ee0f00aa061b08898c64c76f4b905dc4dbcaff71f5f6b30c6c30,D2,csnoncompl,Non Compliant Issues (EHR internal use only),csnoncmdog,Non Compliant Dog (Internal Use only),real_public_reference
32db55068c86358da7bce9bf413c6b2ae6645e207fe631241eca5951499dc481,D2,csregserv,EH & Regulatory Services Request for Service,cspasappn,Applications - Personal Appearance Services - EH&R,real_public_reference
334c589b8e34945383794533e8c1b562c7c38bc26ae4c97d79a70985cc76cfc1,D2,csstrtfurn,Signs (Traffic/Transport),cswtrovrd,Sign Water over the Road,real_public_reference
3383a198d1d4a0a69619bdf2f1b613d017efd4c1a94a83f432d4655a5e571d6e,D2,cssewinf,Wastewater Infrastructure,cswwspill,Wastewater Spill,real_public_reference
33af80eaac62a17b34da3cf7ca0e716ca46c2a3902852329b2c6e3e5dc3a5993,D2,csregserv,EH & Regulatory Services Request for Service,csnotify,Notifications - EH & Regulatory Services,real_public_reference
3404b54a0082b9dc9ae844fe119b77e624f0dec9a58b81d1dffe30d98f3b39ea,D2,complaint,Complaint - General,itserv,Digital Information & Technology,real_public_reference
3418d6a5514858d30fd891ad35eeed6508dfc31abfa4508a0b5fba2316edb411,D2,cslit,Litter,csdeadani,Dead Animal,real_public_reference
3485e1de3fc96b1b7b7941ad487393dcfe17f123cf13bde528b96af38a6f7180,D2,csregserv,EH & Regulatory Services Request for Service,csapplic,x - Applications - EH&R,real_public_reference
34a115b976fb3ef680224262202f732566a4297e25a8eb30ea51fb5a7b094fa5,D2,cschgadd,Change of Address/Details,csrateschg,Change of Address (Rates),real_public_reference
350de7b483a6b950c7b69d4413d4c552090a3ee87a89b7743cd26ac0365aac6b,D2,complaint,Complaint - General,plansect,Planning and Development Section,real_public_reference
354209b4934af434954edc9d0314f969e85ccc52b258df4f2513631fa0f7818e,D2,csstrmdrn,Stormwater Drainage,csblock,Drains/Culvert - Defect/Blocked,real_public_reference
3586feb4c099a90d3345f910a39ae5303525ad43f4addf47f945bb3e3a4a8a0f,D2,csspatprop,Spatial Services/Property Land Street Maintenance,csregplans,Registered LGA Plans,real_public_reference
35f182364f1957330f0205e76f0dd551f54671aead088073d0db7bbc9a624caf,D2,csstrmdrn,Stormwater Drainage,csfloodenq,Flood Enquiries,real_public_reference
35f41231f91f1f5f05edb1029a5a174ce87718af6af7da8cdcf65a104699de68,D2,complaint,Complaint - General,projmanoff,Project Management Office,real_public_reference
368487ff3f4dd71a9a0f1bfcf8fbf7e666c7db9ccd580fe3a6b4b1d5ad68d931,D2,csinforeq,Information Request,cspddevapp,PD Development Applications/Approvals under assess,real_public_reference
3690c0af6b3b7ec72b03fd656e2f2e7b23a8f44229156d7e74e28362bf2095a7,D2,csregserv,EH & Regulatory Services Request for Service,csfoodappn,Applications - Food - EH&R,real_public_reference
36c9b2e77daae461e65c33bc54ced6bcacc9c2aebfba631a23130929fe2b0f9c,D2,csfprr,Footpath,csdefect,Defects,real_public_reference
379093b279a878698c57d270c205e5fb2ef0e625ada295513b00c03a1347fa6d,D2,csmossie,Mosquito,csbiting,Mosquito Biting,real_public_reference
3846b34513727c3b2aa848d46a93f16f9ebef2320fa138c31989ccd12b8c7651,D2,csunauthus,Unauthorised Use of Council Controlled Land,cscnclland,Unauthorised Use of Council Controlled Land,real_public_reference
39c09d32384c53fbb85de9e87279bece07dbe54dc8c58a8606f20a6c3c2f61ed,D2,csprkopn,Parks and Open Space,csgdbedhpp,Garden Bed,real_public_reference
39f0bf5c5b78b66ccad712aec285ebbc0950f90e7ea5e5bc5f9ae37e12d61893,D2,csstrmdrn,Stormwater Drainage,csspitlid,Pit Lid Defect/Obstruction,real_public_reference
3a9ae3aebe342fac9a00b3bbc18f9800d58c1fe04d03ba3ea5f073c2ae7563de,D2,cstechserv,Technical Services (New/Upgrade),csopenspce,Open Spaces,real_public_reference
3b255fb0de0bdd03728dfd78de7cb03734bc7f4c6e4dfc6bf3e1120d80e22278,D2,csregserv,EH & Regulatory Services Request for Service,csrefcanc,Refunds/Cancellations - EH&R,real_public_reference
3b934e0de1c9c22cb832986f7a88f3a270086bbf9f5b5808cd67c85eeba51588,D2,csbody,Body Piercing & Tattoo,csprctat,Body Piercing & Tattoo,real_public_reference
3bbff6abdee40b11df1196eedef7981e797a66ca7088b888c63c3c1b7c159f90,D2,csregserv,EH & Regulatory Services Request for Service,csrefcanc,Refunds/Cancellations - EH & Regulatory Services,real_public_reference
3be78618438cbc26c8621bc20c4c3ebfce661d56063e13c05346011a7f4a2ffa,D2,csdust,Dust & Smoke,cscomm,Commercial,real_public_reference
3cff1bdbe80390aec2bb3dcecf94bdd8e02825fb71b97d2550b8a14a7e0c764f,D2,cshab,Hairdressing & Beauty,cshrbty,Hairdressing & Beauty Therapy,real_public_reference
3d0d5b38fdf93aa442e9d8c6407e851d7ba7b2428804d39d3b3da41772ada844,D2,csanimangt,Animal Management,csodour,Odour,real_public_reference
3d437fc19d47ce3df9127ba9a3fe8b8030b4b6d2aa22b959e5af0c1bd4b17b31,D2,csunauthus,Unauthorised Use of Council Controlled Land,csplantrem,Unauthorised Removal pf Vegetation on Council Land,real_public_reference
3d4f6bd38521a2f30d7a1623e6be6e4330115bd0fc5f559df0c89ccaf60c5998,D2,cscomplmt,Compliment,plansect,Planning Section - RS and EH and Planning,real_public_reference
3f33350b7876821b07045d6bb6faba6f458ac0c8efa242d180d7240047274f31,D2,csprkinf,Park Infrastructure,csexstinf,Replace Existing Infrastructure,real_public_reference
3f53a60e993d04970b562fff914a81c99d9b8b495a9ad5ba080e8e35bff03612,D2,cscomplmt,Compliment,tww,Water & Waste Section,real_public_reference
3f5eff077726bdb532435494564a238b58be8fcae6e3499cdcd37808e30a8c50,D2,csprkopn,Parks and Open Space,csgrcutnpr,Grass Cutting (Non Scheduled),real_public_reference
3f63b37d252f8d3d6cfb2c06bafd7ec52f5622d77087efe7ae8daedb59179d8d,D2,cswtrinf,Water Infrastructure,csraisemtr,Raise Meter,real_public_reference
40e44211994747d36f42f0899e5e6f001b11f60d014dbe2e24fb23b597aeb03c,D2,csfood,Food,cspremises,Premises,real_public_reference
41315f0c78f46d28025478adceff29631c524c61c62987149f0c1090ba09de12,D2,cslgt,Lighting,csmaincao,Maintenance (Council Assets Only),real_public_reference
41544d66520d8a1712e62f1f2dde30957a689d445012e6bf1bf15def2e0a0e80,D2,csrates,Rates,csauthtoac,Authority to Act/Mortgage in Possession/Bankruptcy,real_public_reference
42204a2fb5d81d4e7cf6d1c5a2a0421748735699585e47af18271017e6598fe5,D2,csnoise,Noise,csvehicle,Vehicle,real_public_reference
42476fc964f2881abbc0528d11ef470940e93da66ec3479db0b015c46646def4,D2,cswtrinf,Water Infrastructure,csmislid,Missing Lid,real_public_reference
4316ac2e84964fc5f10db87a969786cad178ce9b66ef6e32361ce163f50eb305,D2,cscomplmt,Compliment,mayor,Mayors Office,real_public_reference
44039f5beb58b8ef2be0e374e01554c66096cd8cedd709a854c4c54517d5cb12,D2,cscomplmt,Compliment,customexp,Customer Experience,real_public_reference
440909890573eaefb40cda9cd7428ddfd9dc571d231bed5e7f844a546ac2b31d,D2,csprkadmn,Parks Administrative Requests,csgrnplt,Greening Planting,real_public_reference
447c6e94516c17ac7494dc239471794715e08a4b5214409a89709d1de2775f62,D2,cswtrinf,Water Infrastructure,cswtrrmtr,Replace Water Meter,real_public_reference
44cf90da999c0d6d9582ea94d3eab773c176ddd3cad173458d824b4d10a22f9e,D2,cstree,Trees,cstrbripr,Tree Branch Pick Up (Urgent),real_public_reference
4514fd8849de54c8f7ee62c25287606fef0ad843d9afaaccc70c2206e45c093a,D2,csdevinfo,Building and Development Information,csplnadvce,Planning Advice Enquiries,real_public_reference
457749c6e4e0070f2b0d117fd65a3568721ccc687ab4cb51238453549bfc4b3b,D2,cssewinf,Wastewater Infrastructure,cswwpalarm,MISC Complaints At Pump Station,real_public_reference
46b8d0cf8c55dab90cb546004498029a81eb9f4365bd1ab01c36ed7d5b28593d,D2,complaint,Complaint - General,mayor,Mayors Office,real_public_reference
4707af2fbc0bb4f9fd2e331d83212adfe5c6bac381393367730387b8ee6a315d,D2,cswtrwwtr,Water and Wastewater,cswtrreimb,Water Reimbursements,real_public_reference
475a15300908af980d128a87729d161d1f74e27073e92f640b3e44b0ad2c408d,D2,cstree,Trees,csstmprm,Stump Removal,real_public_reference
47f9b275301adc3ecf9615c00a063c1e1455815ce2a23e1db865f8290c491e23,D2,complaint,Complaint - General,captldeliv,Capital Delivery,real_public_reference
49d8da36a655e2d99501b27a8322534d8b3e8937a43d2191658f0bde65e0c5e9,D2,csmidge,Sandfly or Midge,csbrdingpr,Breeding - Private Land,real_public_reference
49eea47fd18a271e4a2d1eaac73750e47d422ff4ac15864efd31d2c16d4f7f2e,D2,cssewinf,Wastewater Infrastructure,cswwovrflw,Wastewater Overflow Point,real_public_reference
4b4e4c4b2354eaaef2067963305af81b814eb7d3a84e4c00ccd1f7e81ecca536,D2,cssewinf,Wastewater Infrastructure,csprivwrks,Private Works,real_public_reference
4b936c1a0eb9b100d716d8a880af3bf8cc8b2aac0b623572549e358a3e1457a3,D2,csmossie,Mosquito,csdisease,Disease,real_public_reference
4c09309ade2f58833d7b5748c30d14d297cf51a620f1ed95b75b5168e06ca4bf,D2,csinforeq,Information Request,cspdtrdwst,PD Trade Waste,real_public_reference
4c77acd5ebfc005a9716b2a8ef0116495a04c759af4cbd8632a347a7c150dd00,D2,csprkopn,Parks and Open Space,cspltbox,Planter Boxes,real_public_reference
4d31287788ca2fb4c4c6436445c2422ae059eea68d9326d796a2d58f2d214b67,D2,cscomplmt,Compliment,plansect,Planning and Development Section,real_public_reference
4e17729ff93fab73be1ea2a0354907308095906c6385d3801cf00ca9bf6abe1e,D2,csunauthus,Unauthorised Use of Council Controlled Land,csdrivewyc,Unauthorised Driveway Construction Concerns,real_public_reference
4edd2f867ed10a677720fa48664e19485ad064da3a6f1405d50293785a78d215,D2,csstrmdrn,Stormwater Drainage,csblock,Drains Debris/Defect/Blocked,real_public_reference
4ff02dfd31cd55431866e8af0038318161d3e0d820cbe96342f602216cc39226,D2,cswtrinf,Water Infrastructure,cswtrpenq,Water Pricing Enquiry,real_public_reference
50b53cff1e7455e7b3fed31e6328df1e1fccc55add3cee2b88ed820242d45f73,D2,complaint,Complaint - General,customexp,Customer Experience,real_public_reference
517a6de17e852438311fd28f36c32856b5ed03abdf65cc06100dc73db06050ff,D2,cslgt,Lighting,csresnl,Residential Nuisance Light,real_public_reference
51afbc86ab276acc74259816e09850771b3ac79769aa9083d19815c3380c1d66,D2,csinforeq,Information Request,cspdcouenq,PD Counter Enquiry,real_public_reference
51cf642a2928edc9b46a3856375563271eebdd85f9ab57c3f2015c50c8370105,D2,cssewinf,Wastewater Infrastructure,cspushcams,Push Camera Sewer,real_public_reference
51e271f0f600bb114220a01d987ba3f4da0d351d5d884a703775bb20aaead030,D2,csfinance,Finance,csreccorro,Receivables Correspondence,real_public_reference
520d5a9b3334fb398b24c095e36beca01e4d8423f300a9021fdbd7e821c86a1d,D2,csvhcl,Vehicles,csabandveh,Abandoned Vehicle,real_public_reference
5418582a6f148600d3a506c4e9a6066f309e3a5ed55116521f356b3986661fd2,D2,cscamp,Camping,cscamping,Camping (Internal Use Only),real_public_reference
54387a8e382994bd9587e402661d1222a1a4958cb9436b1e241be6c6f12c0f56,D2,csprkopn,Parks and Open Space,csflorfol,Flora and Foliage Collection,real_public_reference
54bcc3e77fb293abc92a69ce28e4a8bf53f9c439ebae2b96f21daf56078784aa,D2,csprkopn,Parks and Open Space,csprkmaint,Maintenance for an Event,real_public_reference
55511b1c3045302de892e2da212a9b02d56bae4412f780ad9b61896353499f58,D2,csregserv,EH & Regulatory Services Request for Service,csreclaim,Owner reclaim abandoned vehicle - EH&Reg Services,real_public_reference
55547f6765b2db60f48419cb9498a69098d49d237e3fbef12425ec0ce32a140e,D2,cstree,Trees,cstreerdwk,Tree Approval in relation to Road Works Permit,real_public_reference
55d2f43c3ee2d7c61358fc4d876a6281f931cbd0cb2999c94cff1a8d61316b69,D2,csprkinf,Park Infrastructure,cspkfrnnpr,Park Infrastructure(No public risk),real_public_reference
