Group Code,Group Description,Category Code,Category Description,Year,Month,Date,Request Count
CSInfoReq,Information Request,CSEnvhlth,Environmental Health,2018,7,1/07/2018,55
CSInfoReq,Information Request,CSHlthComp,Health Compliance,2018,7,1/07/2018,1
CSInfoReq,Information Request,CSMaintPO,Maintenance Planning & Operations,2018,7,1/07/2018,1
CSInfoReq,Information Request,CSParking,Parking Unit,2018,7,1/07/2018,4
CSInfoReq,Information Request,CSRegSrvs,Regulatory Services,2018,7,1/07/2018,77
CSInfoReq,Information Request,CSWWater,Trade Waste Enquiries,2018,7,1/07/2018,8
CSInfraSrv,Infrastructure Services,CSPubCln,Public Cleanliness (Blood Vomit Faeces).,2018,7,1/07/2018,2
CSKrbChan,Kerb and Channel,CSDefect,Defects,2018,7,1/07/2018,8
CSLgt,Lighting,CSMainCAO,Maintenance (Council Assets Only),2018,7,1/07/2018,3
CSLgt,Lighting,CSResNL,Residential Nuisance Light,2018,7,1/07/2018,1
CSLgt,Lighting,CSRiverway,Riverway,2018,7,1/07/2018,2
CSLit,Litter,CSDeadani,Dead Animal,2018,7,1/07/2018,78
CSLit,Litter,CSLitter,Litter,2018,7,1/07/2018,7
CSLit,Litter,CSPkLitIpr,Park Litter Collection (Imminent public risk),2018,7,1/07/2018,1
CSLit,Litter,CSPkLitNpr,Park Litter Collection (No public risk),2018,7,1/07/2018,5
CSLit,Litter,CSStreet,Street,2018,7,1/07/2018,12
CSMossie,Mosquito,CSBiting,Mosquito Biting,2018,7,1/07/2018,1
CSMossie,Mosquito,CSBrdingcs,Breeding Council / State,2018,7,1/07/2018,1
CSMossie,Mosquito,CSBrdingrc,Breeding Residential / Commercial,2018,7,1/07/2018,3
CSNoise,Noise,CSComm,Commercial,2018,7,1/07/2018,6
CSNoise,Noise,CSResiden,Residential,2018,7,1/07/2018,14
CSNtrlMgmt,Natural Area Management,CSCstEstMt,Coastal-Salt Water Tidal Creeks & Rivers & Lakes,2018,7,1/07/2018,3
CSNtrlMgmt,Natural Area Management,CSFrshCRiv,Freshwater Creeks & Rivers,2018,7,1/07/2018,2
CSNtrlMgmt,Natural Area Management,CSFrshWtrL,Freshwater Lakes,2018,7,1/07/2018,1
CSNtrlMgmt,Natural Area Management,CSMarineWi,Marine Wildlife - Dead,2018,7,1/07/2018,1
CSNtrlMgmt,Natural Area Management,CSNatnlTD,National Tree Day,2018,7,1/07/2018,1
CSNtrlMgmt,Natural Area Management,CSNTreePlt,Native Tree Planting Programs,2018,7,1/07/2018,1
CSNtrlMgmt,Natural Area Management,CSVegCoast,Vegetation - Coastal Esplanade,2018,7,1/07/2018,1
CSOdour,Odour Fumes,CSComm,Commercial,2018,7,1/07/2018,4
CSOdour,Odour Fumes,CSResiden,Residential,2018,7,1/07/2018,5
CSOvrgrn,Overgrown Allotments,CSPrivate,Private,2018,7,1/07/2018,23
CSOwnSearc,Ownership Search,OSOwnSearc,Ownership Search,2018,7,1/07/2018,44
CSPkScrt,Security,CSAntiSocB,Anti-social Behaviour in TCC Parks/Buildings,2018,7,1/07/2018,3
CSPlmdrn,Plumbing & Drainage,CSPlmNCmpl,Possible non-compliant plumbing & drainage work,2018,7,1/07/2018,6
CSPlnCompl,Planning Compliance,CSNPremUse,Land Use Issues,2018,7,1/07/2018,14
CSPools,Pools,CSPlFnCmpl,Possible non-compliant pool fencing,2018,7,1/07/2018,8
CSPools,Pools,CSPlFnEnqu,Pool fencing enquiries,2018,7,1/07/2018,1
CSPrkAdmn,Parks Administrative Requests,CSGrnPlt,Greening Planting,2018,7,1/07/2018,11
CSPrkInf,Park Infrastructure,CSBbqCln,BBQ Cleaning,2018,7,1/07/2018,1
CSPrkInf,Park Infrastructure,CSBbqRpr,BBQ Repair/Maintainence,2018,7,1/07/2018,7
CSPrkInf,Park Infrastructure,CSFncIpr,Fencing (Imminent public risk),2018,7,1/07/2018,2
CSPrkInf,Park Infrastructure,CSFncNpr,Fencing (No public risk),2018,7,1/07/2018,14
CSPrkInf,Park Infrastructure,CSLighting,Lighting,2018,7,1/07/2018,18
CSPrkInf,Park Infrastructure,CSPbTltCln,Public toilet cleanliness,2018,7,1/07/2018,3
CSPrkInf,Park Infrastructure,CSPbTltMnt,Public Toilet Maintainence,2018,7,1/07/2018,24
CSPrkInf,Park Infrastructure,CSPkFrnIpr,Park Infrastructure (Imminent public risk),2018,7,1/07/2018,4
CSPrkInf,Park Infrastructure,CSPkFrnNpr,Park Infrastructure(No public risk),2018,7,1/07/2018,5
CSPrkInf,Park Infrastructure,CSPlyEqIpr,Play Equipment (Imminent public risk),2018,7,1/07/2018,4
CSPrkInf,Park Infrastructure,CSPlyEqNpr,Play Equipment (No public risk),2018,7,1/07/2018,1
CSPrkInf,Park Infrastructure,CSPthRd,Pathways & Roadways,2018,7,1/07/2018,1
CSPrkInf,Park Infrastructure,CSSignage,Signage,2018,7,1/07/2018,1
CSPrkIrig,Irrigation,CSIrrMaj,Irrigation High Priority,2018,7,1/07/2018,37
CSPrkIrig,Irrigation,CSIrrMin,Irrigation Low Priority,2018,7,1/07/2018,81
CSPrkIrig,Irrigation,CSLnLoc,Line Location,2018,7,1/07/2018,5
CSPrkIrig,Irrigation,CSPkPlmMaj,Plumbing Maintenance High Priority,2018,7,1/07/2018,9
CSPrkIrig,Irrigation,CSPkPlmMin,Plumbing Maintenance Low Priority,2018,7,1/07/2018,7
CSPrkOpn,Parks and Open Space,CSAdvSpec,Advice/ Special Request,2018,7,1/07/2018,33
CSPrkOpn,Parks and Open Space,CSDbPkNpr,Debris Pick Up,2018,7,1/07/2018,8
CSPrkOpn,Parks and Open Space,CSGdBedHpp,Garden Bed,2018,7,1/07/2018,17
CSPrkOpn,Parks and Open Space,CSGrCutNpr,Grass Cutting (Non Scheduled),2018,7,1/07/2018,16
CSPrkOpn,Parks and Open Space,CSHrbcd,Herbiciding,2018,7,1/07/2018,9
CSPrkOpn,Parks and Open Space,CSPrkMaint,Maintenance for an Event,2018,7,1/07/2018,5
CSPrkOpn,Parks and Open Space,CSVegCntrl,Vegetation Control,2018,7,1/07/2018,1
CSPstPlt,Pest Plant,CSPestPlnt,Pest Plant,2018,7,1/07/2018,7
CSPTSS,Pensioner Transport Subsidy Scheme,CSPenTSS,Pensioner Transport Subsidy Scheme,2018,7,1/07/2018,115
CSPubHth,Public Health,CSPhlthRsk,Public Health Risk,2018,7,1/07/2018,5
CSPubReact,Public Reaction,CSWatRest,Water Restrictions,2018,7,1/07/2018,7
CSRates,Rates,CSRateco,Advice of change of Owner,2018,7,1/07/2018,6
CSRdAncil,Road Ancillary,CSLnMark,Line Marking Maintenance,2018,7,1/07/2018,2
CSRdAncil,Road Ancillary,CSRRPMD,Reflective Pavement Marking / Delineator Defects,2018,7,1/07/2018,1
CSRegServ,EH & Regulatory Services Request for Service,CSApplic,Applications - EH & Regulatory Services,2018,7,1/07/2018,77
CSRegServ,EH & Regulatory Services Request for Service,CSNotify,Notifications - EH & Regulatory Services,2018,7,1/07/2018,8
CSRegServ,EH & Regulatory Services Request for Service,CSRefunds,Refunds - EH & Regulatory Services,2018,7,1/07/2018,1
CSRplbin,Bins Replacement,CSBinParts,Bin Parts - Lids axles wheels etc,2018,7,1/07/2018,1
CSSealRD,Road Sealed/Bitumen,cspthole,Pothole,2018,7,1/07/2018,18
CSSealRD,Road Sealed/Bitumen,CSPvFail,Pavement Failure or Surface Defects,2018,7,1/07/2018,13
CSSewInf,Wastewater Infrastructure,CSPushCamS,Push Camera Sewer,2018,7,1/07/2018,1
CSSewInf,Wastewater Infrastructure,CSWtrRest,Restoration,2018,7,1/07/2018,1
CSSewInf,Wastewater Infrastructure,CSWWBlkDrn,House Drain Blockage,2018,7,1/07/2018,40
CSSewInf,Wastewater Infrastructure,CSWWBMn,Broken Wastewater Main,2018,7,1/07/2018,3
CSSewInf,Wastewater Infrastructure,CSWWDOdour,Odour Wastewater distribution,2018,7,1/07/2018,12
CSSewInf,Wastewater Infrastructure,CSWWLnFull,Wastewater Mainline blockage,2018,7,1/07/2018,11
CSSewInf,Wastewater Infrastructure,CSWWMnhole,Wastewater Manhole,2018,7,1/07/2018,4
CSSewInf,Wastewater Infrastructure,CSWWOdour,Odour Wastewater Treatment Plant,2018,7,1/07/2018,5
CSSewInf,Wastewater Infrastructure,CSWWSpill,Wastewater Spill,2018,7,1/07/2018,3
CSSewInf,Wastewater Infrastructure,CSWWSub,Wastewater Subsidence,2018,7,1/07/2018,2
CSSpill,Spillage,CSSpillTI,Spillage (Transport Infrastructure),2018,7,1/07/2018,6
CSSpill,Spillage,CSSplhzd,Hazardous Spill,2018,7,1/07/2018,2
CSStrmDrn,Stormwater Drainage,CSBlock,Drains Debris/Defect/Blocked,2018,7,1/07/2018,23
CSStrmDrn,Stormwater Drainage,CSBPitLid,Culvert Defect/Obstruction,2018,7,1/07/2018,8
CSStrtFurn,Signs (Traffic/Transport),CSMStSign,Sign Missing / Defective,2018,7,1/07/2018,36
CSStrtSwp,Street Sweeping,CSStrtSwpU,Street Sweeping (Unscheduled),2018,7,1/07/2018,26
CSStrtSwp,Street Sweeping,CSVehAcc,Vehicle Accident (Street Sweeping - Broken Glass),2018,7,1/07/2018,5
CSSyringes,Syringes,CSOpSpace,Parks and Open Space/Roadside,2018,7,1/07/2018,5
CSTechServ,Technical Services (New/Upgrade),CSOpenSpce,Open Spaces,2018,7,1/07/2018,16
CSTechServ,Technical Services (New/Upgrade),CSStmwater,Stormwater,2018,7,1/07/2018,4
CSTechServ,Technical Services (New/Upgrade),CSTraf&Rds,Traffic and Roads,2018,7,1/07/2018,57
CSTree,Trees,CSFallenTr,Fallen Trees (Non Urgent),2018,7,1/07/2018,1
CSTree,Trees,CSFallenTU,Fallen Trees (Urgent),2018,7,1/07/2018,2
CSTree,Trees,CSResplnt,Resident Planting,2018,7,1/07/2018,3
CSTree,Trees,CSTrBrNpr,Tree Branch Pick Up (Non Urgent),2018,7,1/07/2018,8
CSTree,Trees,CSTrInsp,Tree Inspection,2018,7,1/07/2018,93
CSTree,Trees,CSTrPrnNpr,Tree Pruning,2018,7,1/07/2018,67
CSTrfLgt,Traffic Lights,CSMainCAO,Maintenance (Council Assets Only),2018,7,1/07/2018,3
CSUnauthUs,Unauthorised Use of Council Controlled Land,CSCnclLand,Unauthorised Use of Council Controlled Land,2018,7,1/07/2018,12
CSUnsealRD,Road Gravel/Dirt,CSDefect,Defects,2018,7,1/07/2018,10
CSVhcl,Vehicles,CSAbandVeh,Abandoned Vehicles,2018,7,1/07/2018,73
CSVrm,Vermin,CSVermin,Vermin,2018,7,1/07/2018,5
CSWaterSup,Water Supply,CSPosWtOff,Possible Water Offences,2018,7,1/07/2018,3
CSWaterSup,Water Supply,CSTrdeWste,Possible Trade Waste Offences,2018,7,1/07/2018,1
CSWpl,Water Pollution,CSComm,Commercial,2018,7,1/07/2018,1
CSWsteServ,Waste Services,CSAddbin,Bins Additional Service,2018,7,1/07/2018,34
CSWsteServ,Waste Services,CSBinPartC,Wheelie Bin Parts - Damaged,2018,7,1/07/2018,41
CSWsteServ,Waste Services,CSBins,Bins Odour & Placement,2018,7,1/07/2018,4
CSWsteServ,Waste Services,CSCasulBin,Bins Quote for Collection Service (Lift-Once off),2018,7,1/07/2018,15
CSWsteServ,Waste Services,CSCnlbin,Bins Cancel Service,2018,7,1/07/2018,7
CSWsteServ,Waste Services,CSDmgbin,Bins Damaged / Stolen,2018,7,1/07/2018,200
CSWsteServ,Waste Services,CSHardRUB,Hard Rubbish Collection,2018,7,1/07/2018,87
CSWsteServ,Waste Services,CSMisbin,Bins Missed Collection,2018,7,1/07/2018,90
CSWsteServ,Waste Services,CSNserv,Bins New Service,2018,7,1/07/2018,61
CSWsteServ,Waste Services,CSPubbin,Bins Public Street & Park,2018,7,1/07/2018,15
CSWsteServ,Waste Services,CSVetCol1,Vet Collection,2018,7,1/07/2018,19
CSWtrInf,Water Infrastructure,CSMisFHyd,Missing Fire Hydrant Lid,2018,7,1/07/2018,2
CSWtrInf,Water Infrastructure,CSMisSVLid,Missing Sluice Valve Lid,2018,7,1/07/2018,3
CSWtrInf,Water Infrastructure,CSNoWater,No Water,2018,7,1/07/2018,17
CSWtrInf,Water Infrastructure,CSRaiseMtr,Raise Meter,2018,7,1/07/2018,2
CSWtrInf,Water Infrastructure,CSWtrBMtr,Broken Water Meter,2018,7,1/07/2018,57
CSWtrInf,Water Infrastructure,CSWtrHamme,Water Hammer,2018,7,1/07/2018,2
CSWtrInf,Water Infrastructure,CSWtrLHyd,Leaking Fire Hydrant,2018,7,1/07/2018,21
CSWtrInf,Water Infrastructure,CSWtrLMn,Leaking Water Main,2018,7,1/07/2018,100
CSWtrInf,Water Infrastructure,CSWtrLSc,Leaking Stopcock,2018,7,1/07/2018,11
CSWtrInf,Water Infrastructure,CSWtrLSrv,Leaking Water Service,2018,7,1/07/2018,259
CSWtrInf,Water Infrastructure,CSWtrLSv,Leaking Sluice Valve,2018,7,1/07/2018,15
CSWtrInf,Water Infrastructure,CSWtrPrsr,Shortage of Water,2018,7,1/07/2018,20
CSWtrInf,Water Infrastructure,CSWtrRepPg,Water Service Replacement Program,2018,7,1/07/2018,6
CSWtrInf,Water Infrastructure,CSWtrRest,Restoration,2018,7,1/07/2018,19
CSWtrInf,Water Infrastructure,CSWtrRMtr,Replace Water Meter,2018,7,1/07/2018,3
CSWtrInf,Water Infrastructure,CSWtrScOff,Stopcock wont turn off,2018,7,1/07/2018,45
CSWtrInf,Water Infrastructure,CSWtrScOn,Stopcock wont turn on,2018,7,1/07/2018,3
CSWtrQlty,Water Quality,CSDrtWtr,Dirty Water,2018,7,1/07/2018,3
CSWtrQlty,Water Quality,CSTstOdour,Taste / Odour,2018,7,1/07/2018,1
CSWtrRstr,Water Restrictions,CSBoreEnq,Bore Enquiries,2018,7,1/07/2018,2
CSWtrRstr,Water Restrictions,CSWtrRRlx,Relaxation of Water Restriction Guidelines,2018,7,1/07/2018,24
CSWtrRstr,Water Restrictions,CSWtrRstr,Watering Outside Water Restriction Guidelines,2018,7,1/07/2018,27
Quickcall,Quickcall,Quickcall,Quickcall,2018,7,1/07/2018,6274
Complaint,Complaint - General,AssetFleet,Infrastructure Planning Assets & Fleet Section,2018,8,1/08/2018,4
Complaint,Complaint - General,ComEng,Community Engagement Section,2018,8,1/08/2018,3
Complaint,Complaint - General,Finance,Financial Services Section,2018,8,1/08/2018,3
Complaint,Complaint - General,MaintPlan,Construction Maintenance & Operations Section,2018,8,1/08/2018,16
Complaint,Complaint - General,PlanSect,Planning Section - RS and EH and Planning,2018,8,1/08/2018,10
Complaint,Complaint - General,WatWaste,Water/Wastewater/Waste Section,2018,8,1/08/2018,3
CSAccum,Accumulated Material,CSCychaz,Cyclone/Community Safety Hazard,2018,8,1/08/2018,3
CSAccum,Accumulated Material,CSUntdyalo,Unsightly Allotments,2018,8,1/08/2018,15
CSAdvStrct,Advertising Signs/Structures,CSAdvFree,Information on free standing/temporary advertising,2018,8,1/08/2018,2
CSAdvStrct,Advertising Signs/Structures,CSAdvStrct,Information on fixed/structural advertising,2018,8,1/08/2018,1
CSAniMangt,Animal Management,CSAggrsve,Aggressive Animal,2018,8,1/08/2018,46
CSAniMangt,Animal Management,CSApproval,Animal Approval,2018,8,1/08/2018,29
CSAniMangt,Animal Management,CSAttack,Attack,2018,8,1/08/2018,74
CSAniMangt,Animal Management,CSBreeder,Dog Breeders,2018,8,1/08/2018,2
CSAniMangt,Animal Management,CSDefecate,Defecating Animal,2018,8,1/08/2018,3
CSAniMangt,Animal Management,CSEncl,Enclosure,2018,8,1/08/2018,86
CSAniMangt,Animal Management,CSExcess,Excess,2018,8,1/08/2018,44
CSAniMangt,Animal Management,CSNoApprov,No Approval,2018,8,1/08/2018,2
CSAniMangt,Animal Management,CSNoise,Noise,2018,8,1/08/2018,176
CSAniMangt,Animal Management,CSOdour,Odour,2018,8,1/08/2018,7
CSAniMangt,Animal Management,CSPrivImpd,Private Impound,2018,8,1/08/2018,176
CSAniMangt,Animal Management,CSProAcPat,Proactive Patrols,2018,8,1/08/2018,1
CSAniMangt,Animal Management,CSPstAml,Pest Animals,2018,8,1/08/2018,21
CSAniMangt,Animal Management,CSPstMgt,Pest Management Plan,2018,8,1/08/2018,4
CSAniMangt,Animal Management,CSRegu,Regulated Dog Inspections,2018,8,1/08/2018,10
CSAniMangt,Animal Management,CSStray,Stray,2018,8,1/08/2018,18
CSAniMangt,Animal Management,CSUnreg,Unregistered,2018,8,1/08/2018,19
CSAniMangt,Animal Management,CSWander,Wandering,2018,8,1/08/2018,77
CSAsbest,Asbestos,CSAsbestos,Asbestos,2018,8,1/08/2018,3
CSBldCompl,Building Compliance,CSNStrct,Possible non-compliant building or structure,2018,8,1/08/2018,18
CSBridges,Bridges and Footbridges,csrepmain,Repair/Maintenance,2018,8,1/08/2018,2
CSBtRamp,Boat Ramps,CSClnMt,Cleaning/Maintainence,2018,8,1/08/2018,1
CSBurn,Backyard Burning,CSBackyard,Fire Hazard,2018,8,1/08/2018,11
CSBusShlt,Bus Shelters,CSRepMain,Repair/Maintenance,2018,8,1/08/2018,2
CSCamp,Camping,CSCamping,Camping,2018,8,1/08/2018,9
CSCarprk,Parking,CSInfVhcl,Infringing Vehicle,2018,8,1/08/2018,53
CSCarprk,Parking,CSTicmac,Ticketing Machine/Faulty Meter,2018,8,1/08/2018,28
CSChgadd,Change of Address/Details,CSChgBusD,Change of Details (Business Licence),2018,8,1/08/2018,3
CSChgadd,Change of Address/Details,CSEHChgM,Change of Mailing Address (Business Licence),2018,8,1/08/2018,1
CSChgadd,Change of Address/Details,CSRateChgA,Change of Address (Rates),2018,8,1/08/2018,668
CSComplmt,Compliment,ComEng,Community Engagement Section,2018,8,1/08/2018,2
CSComplmt,Compliment,Finance,Financial Services Section,2018,8,1/08/2018,1
CSComplmt,Compliment,MaintPlan,Construction Maintenance & Operations Section,2018,8,1/08/2018,7
CSComplmt,Compliment,PlanSect,Planning Section - RS and EH and Planning,2018,8,1/08/2018,4
CSComplmt,Compliment,TWW,Water & Waste Section,2018,8,1/08/2018,3
CSComplmt,Compliment,WatWaste,Water/Wastewater/Waste Section,2018,8,1/08/2018,3
CSCSH,Community Safety Hazards,CSCSH,Community Saftey Hazards,2018,8,1/08/2018,4
CSDevInfo,Building and Development Information,CSDevEnq,Current development - enquiries,2018,8,1/08/2018,4
CSDevInfo,Building and Development Information,csplnadvce,Planning Advice Enquiries,2018,8,1/08/2018,80
CSDrvWay,Driveways,CSDrvInfo,New Driveway Information Request,2018,8,1/08/2018,1
CSDump,Dumping,CSDumping,Non-Compliant Dumping,2018,8,1/08/2018,21
CSDust,Dust & Smoke,CSComm,Commercial,2018,8,1/08/2018,6
CSDust,Dust & Smoke,CSResiden,Residential,2018,8,1/08/2018,9
CSEra,ERA,CSComm,Commercial,2018,8,1/08/2018,1
CSEra,ERA,CSResiden,Residential,2018,8,1/08/2018,4
CSFood,Food,CSHandling,Handling,2018,8,1/08/2018,4
CSFood,Food,CSPremises,Premises,2018,8,1/08/2018,12
CSFprr,Footpath,CSDefect,Defects,2018,8,1/08/2018,48
CSFprr,Footpath,CSObstrn,Obstruction,2018,8,1/08/2018,15
CSGraffiti,Graffiti,CSInOffen,Graffiti - Inoffensive,2018,8,1/08/2018,8
CSInfoReq,Information Request,CSAniMgmt,Animal Management,2018,8,1/08/2018,14
CSInfoReq,Information Request,CSDevcompl,Development Compliance,2018,8,1/08/2018,3
CSInfoReq,Information Request,CSEnvhlth,Environmental Health,2018,8,1/08/2018,51
CSInfoReq,Information Request,CSMaintPO,Maintenance Planning & Operations,2018,8,1/08/2018,4
CSInfoReq,Information Request,CSParking,Parking Unit,2018,8,1/08/2018,7
CSInfoReq,Information Request,CSRegSrvs,Regulatory Services,2018,8,1/08/2018,52
CSInfoReq,Information Request,CSWasteEnq,Waste Enquiries,2018,8,1/08/2018,5
CSInfoReq,Information Request,CSWWater,Trade Waste Enquiries,2018,8,1/08/2018,3
CSInfraSrv,Infrastructure Services,CSOther,Other,2018,8,1/08/2018,1
CSInfraSrv,Infrastructure Services,CSPubCln,Public Cleanliness (Blood Vomit Faeces).,2018,8,1/08/2018,5
CSKrbChan,Kerb and Channel,CSDefect,Defects,2018,8,1/08/2018,12
CSLgt,Lighting,CSCommNL,Commercial Nuisance Light,2018,8,1/08/2018,2
CSLgt,Lighting,CSMainCAO,Maintenance (Council Assets Only),2018,8,1/08/2018,3
CSLgt,Lighting,CSResNL,Residential Nuisance Light,2018,8,1/08/2018,4
CSLgt,Lighting,CSRiverway,Riverway,2018,8,1/08/2018,1
CSLit,Litter,CSDeadani,Dead Animal,2018,8,1/08/2018,84
CSLit,Litter,CSLitter,Litter,2018,8,1/08/2018,9
CSLit,Litter,CSPkLitIpr,Park Litter Collection (Imminent public risk),2018,8,1/08/2018,1
CSLit,Litter,CSPkLitNpr,Park Litter Collection (No public risk),2018,8,1/08/2018,6
CSLit,Litter,CSStreet,Street,2018,8,1/08/2018,18
CSLit,Litter,CSVehicleL,Littering from a vehicle,2018,8,1/08/2018,1
CSMossie,Mosquito,CSBiting,Mosquito Biting,2018,8,1/08/2018,1
CSMossie,Mosquito,CSBrdingcs,Breeding Council / State,2018,8,1/08/2018,3
CSMossie,Mosquito,CSBrdingrc,Breeding Residential / Commercial,2018,8,1/08/2018,2
CSMossie,Mosquito,CSInfo,Information,2018,8,1/08/2018,1
CSNoise,Noise,CSComm,Commercial,2018,8,1/08/2018,11
CSNoise,Noise,CSResiden,Residential,2018,8,1/08/2018,8
CSNtrlMgmt,Natural Area Management,CSBatMgmt,Flying Fox Bat Management,2018,8,1/08/2018,3
CSNtrlMgmt,Natural Area Management,CSCstEstMt,Coastal-Salt Water Tidal Creeks & Rivers & Lakes,2018,8,1/08/2018,1
CSNtrlMgmt,Natural Area Management,CSFrshCRiv,Freshwater Creeks & Rivers,2018,8,1/08/2018,2
CSNtrlMgmt,Natural Area Management,CSNTreePlt,Native Tree Planting Programs,2018,8,1/08/2018,1
CSNtrlMgmt,Natural Area Management,CSShoreEro,Coastal-Beach Erosion,2018,8,1/08/2018,1
CSNtrlMgmt,Natural Area Management,CSVegPuSaf,Vegetation - Maintenance and Public Safety,2018,8,1/08/2018,3
CSOdour,Odour Fumes,CSComm,Commercial,2018,8,1/08/2018,4
CSOdour,Odour Fumes,CSResiden,Residential,2018,8,1/08/2018,5
CSOvrgrn,Overgrown Allotments,CSPrivate,Private,2018,8,1/08/2018,29
CSOwnSearc,Ownership Search,OSOwnSearc,Ownership Search,2018,8,1/08/2018,29
